Class1,Class2,StringMatch,Duplicate,Ontology1,Ontology2,Score
Workflow,Workflow,True,False,http://purl.org/spar/pwo,http://purl.org/wf4ever/wfdesc,0
Step,Step,True,False,http://purl.org/net/p-plan,http://purl.org/spar/pwo,0
Plan,Plan,True,False,http://www.w3.org/ns/prov,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl,0
Workflow,Workflow,True,True,http://purl.dataone.org/provone/2015/01/15/ontology,http://purl.org/spar/pwo,0
Dataset,Dataset,True,False,http://rdfs.org/ns/void,http://purl.org/wf4ever/wf4ever,0
Artifact,Artifact,True,False,http://purl.org/net/opmv/ns,http://purl.org/wf4ever/wfprov,0
Workflow,Workflow,True,True,http://purl.org/spar/pwo,http://purl.org/wf4ever/wfdesc,0
Plan,Plan,True,True,http://purl.org/net/p-plan,http://www.ontologydesignpatterns.org/cp/owl/basicplandescription.owl,0
Step,Step,True,True,http://purl.org/net/p-plan,http://purl.org/spar/pwo,0
hasArtifact,hasArtifact,True,False,http://openprovenance.org/model/opmo,http://purl.org/wf4ever/wfdesc,0
Artifact,Artifact,True,True,http://purl.org/net/opmv/ns,http://purl.org/wf4ever/wfdesc,0
Process,Process,True,False,http://purl.org/net/opmv/ns,http://purl.org/wf4ever/wfdesc,0
Entity,Entity,True,False,http://openprovenance.org/model/opmo,http://www.w3.org/ns/prov,0
Agent,Agent,True,False,http://purl.org/net/opmv/ns,http://www.w3.org/ns/prov,0
ro,wfdesc,False,False,http://purl.org/wf4ever,http://purl.org/wf4ever,0
Workflow,Workflow,True,True,http://purl.dataone.org/provone/2015/01/15/ontology,http://purl.org/wf4ever/wfdesc,0
Document,Document,True,False,http://purl.dataone.org/provone/2015/01/15/ontology,http://purl.org/wf4ever/wf4ever,0
